osmid,x,y
173093896,-79.708201,36.507764
173093902,-79.708846,36.509137
173093909,-79.709313,36.510177
173093924,-79.779183,36.486901
173093943,-79.779222,36.489693
173093959,-79.941591,36.471533
173093980,-79.942545,36.470672
173094001,-79.9435904,36.4696554
173094017,-79.744704,36.387873
173094049,-80.001104,36.382893
173094064,-80.003241,36.382151
173094074,-79.7740489,36.5055645
173094081,-79.774043,36.50683
173094110,-79.774001,36.510469
173094164,-79.775221,36.51276
173094167,-79.7756242,36.5131195
173094199,-79.775995,36.516728
173094204,-79.775973,36.518303
173094209,-79.7759349,36.5206344
173094212,-79.775927,36.521124
173094215,-79.775912,36.522071
173094275,-79.777465,36.526882
173094301,-79.779436,36.463912
173094349,-79.779917,36.463208
173094359,-79.899987,36.380893
173094394,-79.900634,36.379475
173094409,-79.9173314,36.5198049
173094446,-79.925412,36.521706
173094462,-79.9298415,36.5209388
173094754,-79.925933,36.50153
173094814,-79.567927,36.273738
173094971,-79.563408,36.27646
173094992,-79.8642863,36.513467
173095014,-79.8618368,36.5140204
173095037,-79.68314,36.514626
173095043,-79.684145,36.514321
173095053,-79.688743,36.512922
173095063,-79.689868,36.512598
173095066,-79.690969,36.512243
173095073,-79.693151,36.511551
173095088,-79.694945,36.510952
173095093,-79.694991,36.510914
173095099,-79.696103,36.510581
173095104,-79.697215,36.510246
173095117,-79.698529,36.509842
173095132,-79.6591465,36.3993433
173095161,-79.6572542,36.3997169
173095213,-79.6535103,36.4003366
173095242,-79.651342,36.40084
173095310,-79.623073,36.330577
173095327,-79.6211,36.33113
173095367,-79.665902,36.358855
173095372,-79.6642434,36.3588518
173095376,-79.6631511,36.3588577
173095395,-79.787162,36.489798
173095403,-79.785341,36.489772
173095409,-79.784376,36.489748
173095443,-79.781023,36.489987
173095453,-79.870323,36.341126
173095536,-79.8773165,36.3426305
173095550,-79.67464,36.515426
173095617,-79.672188,36.518175
173095632,-79.770112,36.3411
173095728,-79.764178,36.3409564
173095744,-79.7855333,36.3199713
173095780,-79.7806368,36.3245688
173095798,-79.7770929,36.3265941
173095841,-79.770499,36.330805
173095870,-79.7704265,36.3328851
173095877,-79.7712755,36.3351663
173095908,-79.771734,36.338747
173095913,-79.771463,36.339625
173095940,-79.76816,36.34241
173095967,-79.764168,36.345718
173095973,-79.762402,36.347723
173095982,-79.761091,36.34911
173096008,-79.7530134,36.3527839
173096012,-79.7508783,36.3536033
173096045,-79.746872,36.353688
173096079,-79.745118,36.354481
173096164,-79.735949,36.362685
173096207,-79.735548,36.368176
173096227,-79.7349495,36.3729162
173096316,-79.768852,36.521541
173096380,-79.771562,36.523035
173096396,-80.009319,36.392443
173096428,-79.7506504,36.3152472
173096453,-79.750095,36.317122
173096463,-79.729899,36.511041
173096477,-79.731726,36.5147238
173096509,-79.811718,36.314395
173096523,-79.81306,36.314623
173096538,-79.689793,36.410775
173096554,-79.691385,36.409456
173096560,-79.6145546,36.3206376
173096591,-79.613499,36.319263
173096618,-79.612606,36.31797
173096640,-79.716114,36.38037
173096682,-79.715377,36.382304
173096694,-79.732535,36.515599
173096742,-79.7362044,36.5160568
173096769,-79.980747,36.354254
173096795,-79.9841634,36.3540574
173096929,-79.595185,36.308585
173097116,-79.6058584,36.3284533
173097132,-79.719864,36.349077
173097221,-79.723948,36.354783
173097227,-79.906041,36.278982
173097260,-79.911182,36.287458
173097331,-79.916703,36.300798
173097423,-79.922647,36.307637
173097486,-79.928355,36.315019
173097493,-79.929324,36.316232
173097507,-79.9307932,36.3182738
173097530,-79.761277,36.506526
173097556,-79.76354,36.507085
173097571,-79.764449,36.507632
173097575,-79.765436,36.507567
173097582,-79.767183,36.507447
173097590,-79.768163,36.507339
173097593,-79.76843,36.507328
173097628,-79.6752843,36.3496047
173097634,-79.832464,36.47402
173097664,-79.831538,36.476059
173097673,-79.825265,36.273655
173097716,-79.822833,36.266638
173097826,-79.6627487,36.3265843
173097855,-79.6641489,36.3271995
173097880,-79.665457,36.327414
173097890,-79.7697,36.489606
173097893,-79.770166,36.489071
173097898,-80.010609,36.376223
173097962,-80.007904,36.375146
173097974,-79.524123,36.525435
173097978,-79.524356,36.526219
173097985,-79.8484413,36.433577
173098010,-79.8515925,36.4304093
173098022,-79.662251,36.350073
173098038,-79.662453,36.351783
173098048,-79.912795,36.473506
173098050,-79.912849,36.474391
173098063,-79.811335,36.463358
173098079,-79.813758,36.46389
173098094,-79.816952,36.463799
