DateOfTrip,Mobility Aid,Trip Purpose,OrigX,OrigY,DestX,DestY
2024-04-22,WK,Medical,36.331,-79.692,36.459,-79.897
2024-04-22,,Medical,36.34,-79.684,36.348,-79.664
2024-04-22,,Medical,36.348,-79.664,36.34,-79.684
2024-04-22,,Medical,36.51,-79.693,36.497,-79.742
2024-04-22,,Medical,36.497,-79.742,36.51,-79.693
2024-04-22,,Medical,36.271,-79.607,36.485,-79.739
2024-04-22,,Medical,36.485,-79.739,36.271,-79.607
2024-04-22,,Medical,36.357,-79.671,36.105,-80.107
2024-04-22,,Medical,36.105,-80.107,36.357,-79.671
2024-04-22,,Medical,36.488,-79.734,36.094,-80.049
2024-04-22,,Medical,36.488,-79.734,36.094,-80.049
2024-04-22,,Medical,36.094,-80.049,36.488,-79.734
2024-04-22,,Medical,36.094,-80.049,36.488,-79.734
2024-04-22,,LEAF Center,36.318,-79.697,36.363,-79.67
2024-04-22,,LEAF Center,36.363,-79.67,36.318,-79.697
2024-04-23,,Employment,36.512,-79.694,36.511,-79.785
2024-04-23,,Employment,36.511,-79.785,36.512,-79.694
2024-04-23,,Employment,36.512,-79.694,36.511,-79.785
2024-04-23,,Employment,36.511,-79.785,36.512,-79.694
2024-04-23,,Medical,36.496,-79.769,36.489,-79.74
2024-04-23,,Medical,36.489,-79.74,36.496,-79.769
2024-04-23,,LEAF Center,36.315,-79.721,36.363,-79.67
2024-04-23,,LEAF Center,36.363,-79.67,36.315,-79.721
2024-04-23,,Medical,36.363,-79.68,36.358,-79.666
2024-04-23,,Medical,36.358,-79.666,36.363,-79.68
2024-04-23,,Employment,36.523,-79.745,36.497,-79.795
2024-04-23,,Medical,36.463,-79.663,36.476,-79.737
2024-04-23,,Medical,36.476,-79.737,36.463,-79.663
2024-04-23,WK,LEAF Center,36.336,-79.663,36.363,-79.67
2024-04-23,WK,LEAF Center,36.363,-79.67,36.336,-79.663
2024-04-23,,Employment,36.505,-79.679,36.507,-79.743
2024-04-23,,Employment,36.507,-79.743,36.505,-79.679
2024-04-23,,Medical,36.293,-79.639,36.353,-79.666
2024-04-23,,Medical,36.353,-79.666,36.293,-79.639
2024-04-23,,Employment,36.461,-79.925,36.346,-79.667
2024-04-23,,Employment,36.346,-79.667,36.461,-79.925
2024-04-23,,Medical,36.39,-79.965,36.353,-79.667
2024-04-23,,Medical,36.353,-79.667,36.39,-79.965
2024-04-23,WK,Medical,36.374,-79.664,36.496,-79.74
2024-04-23,WK,Medical,36.496,-79.74,36.374,-79.664
2024-04-23,WC,LEAF Center,36.315,-79.723,36.363,-79.67
2024-04-23,WC,LEAF Center,36.363,-79.67,36.315,-79.723
2024-04-23,,Dialysis,36.499,-79.851,36.324,-79.641
