o_hex,d_hex,trips
872a8bcd2ffffff,872a8bcdcffffff,1
872a8bcd2ffffff,872a8bcdeffffff,1
872a8bcd2ffffff,872a8bce1ffffff,1
872a8bcd2ffffff,872a8bcf0ffffff,9
872a8bcd2ffffff,872a8bcf6ffffff,1
872a8bcd4ffffff,872a8b525ffffff,1
872a8bcd4ffffff,872a8bc28ffffff,4
872a8bcd4ffffff,872a8bc2affffff,2
872a8bcd4ffffff,872a8bc50ffffff,3
872a8bcd4ffffff,872a8bcd2ffffff,21
872a8bcd6ffffff,872a8b521ffffff,4
872a8bcd6ffffff,872a8bc05ffffff,2
872a8bcd6ffffff,872a8bc28ffffff,1
872a8bcd6ffffff,872a8bc2affffff,102
872a8bcd6ffffff,872a8bc2effffff,8
872a8bcd6ffffff,872a8bc48ffffff,5
872a8bcd6ffffff,872a8bc49ffffff,148
872a8bcd6ffffff,872a8bc4affffff,8
872a8bcd6ffffff,872a8bc4effffff,52
872a8bcd6ffffff,872a8bc50ffffff,1
872a8bcd6ffffff,872a8bc5dffffff,2
872a8bcd6ffffff,872a8bc62ffffff,1
872a8bcd6ffffff,872a8bc72ffffff,1
872a8bcd6ffffff,872a8bc82ffffff,1
872a8bcd6ffffff,872a8bc8bffffff,1
872a8bcd6ffffff,872a8bca9ffffff,2
872a8bcd6ffffff,872a8bcabffffff,2
872a8bcd6ffffff,872a8bcadffffff,2
872a8bcd6ffffff,872a8bcd2ffffff,17
872a8bcd6ffffff,872a8bcd6ffffff,4
872a8bcdaffffff,872a8bc2affffff,1
872a8bcdaffffff,872a8bc2effffff,2
872a8bcdaffffff,872a8bc4effffff,39
872a8bcdaffffff,872a8bc50ffffff,1
872a8bcdaffffff,872a8bc52ffffff,3
872a8bcdaffffff,872a8bcd2ffffff,1
872a8bcdbffffff,872a8bc50ffffff,2
872a8bcdbffffff,872a8bc51ffffff,5
872a8bcdbffffff,872a8bcd2ffffff,3
872a8bcdcffffff,872a8bc49ffffff,28
872a8bcdcffffff,872a8bc8bffffff,1
872a8bcdcffffff,872a8bcd2ffffff,1
872a8bcddffffff,872a8bc48ffffff,2
872a8bcddffffff,872a8bc4effffff,1
872a8bcdeffffff,872a8bc50ffffff,1
872a8bcdeffffff,872a8bc51ffffff,4
872a8bcdeffffff,872a8bcd2ffffff,1
872a8bce0ffffff,872a8bc49ffffff,143
872a8bce0ffffff,872a8bce0ffffff,2
872a8bce1ffffff,872a8bc2bffffff,1
872a8bce1ffffff,872a8bc41ffffff,1
872a8bce1ffffff,872a8bc48ffffff,5
872a8bce1ffffff,872a8bc4effffff,1
872a8bce1ffffff,872a8bcd2ffffff,1
872a8bce2ffffff,872a8bc2effffff,2
872a8bce5ffffff,872a8bc4effffff,2
872a8bce5ffffff,872a8bc51ffffff,230
872a8bce5ffffff,872a8bce5ffffff,2
872a8bcebffffff,872a8bc4effffff,5
872a8bcedffffff,872a8bc2effffff,10
872a8bcedffffff,872a8bc4effffff,4
872a8bcedffffff,872a8bc51ffffff,5
872a8bceeffffff,872a8bc4affffff,1
872a8bceeffffff,872a8bc4effffff,2
872a8bcf0ffffff,872a8bc49ffffff,36
872a8bcf0ffffff,872a8bc53ffffff,4
872a8bcf0ffffff,872a8bcd2ffffff,10
872a8bcf0ffffff,872a8bcf0ffffff,1
872a8bcf3ffffff,872a8bc2affffff,2
872a8bcf3ffffff,872a8bc51ffffff,1
872a8bcf5ffffff,872a8bc2affffff,1
872a8bcf5ffffff,872a8bc2bffffff,2
872a8bcf6ffffff,872a8bc89ffffff,1
872a8bd41ffffff,872a8bc28ffffff,1
872a8bd41ffffff,872a8bc2effffff,6
872a8bd42ffffff,872a8bc2affffff,141
872a8bd42ffffff,872a8bd42ffffff,2
872a8bd48ffffff,872a8bc2effffff,1
872a8bd48ffffff,872a8bc41ffffff,2
872a8bd48ffffff,872a8bc4effffff,8
872a8bd4affffff,872a8bc4effffff,1
872a8bd50ffffff,872a8bc2affffff,5
872a8bd50ffffff,872a8bc2cffffff,4
872a8bd50ffffff,872a8bc2effffff,2
872a8bd50ffffff,872a8bc41ffffff,62
872a8bd50ffffff,872a8bc4affffff,2
872a8bd50ffffff,872a8bc51ffffff,2
872a8bd52ffffff,872a8bc28ffffff,1
872a8bd52ffffff,872a8bc2affffff,1
872a8bd52ffffff,872a8bc2effffff,12
872a8bd52ffffff,872a8bc41ffffff,277
872a8bd52ffffff,872a8bc48ffffff,4
872a8bd52ffffff,872a8bc4affffff,1
872a8bd52ffffff,872a8bc4effffff,2
872a8bd52ffffff,872a8bc50ffffff,2
872a8bd52ffffff,872a8bc51ffffff,2
872a8bd53ffffff,872a8bc04ffffff,207
872a8bd53ffffff,872a8bc23ffffff,17
872a8bd53ffffff,872a8bc28ffffff,6
872a8bd53ffffff,872a8bc2affffff,17
872a8bd53ffffff,872a8bc2bffffff,16
872a8bd53ffffff,872a8bc2effffff,104
872a8bd53ffffff,872a8bc41ffffff,27
872a8bd53ffffff,872a8bc44ffffff,2
872a8bd53ffffff,872a8bc4affffff,3
872a8bd53ffffff,872a8bc4effffff,12
872a8bd53ffffff,872a8bc50ffffff,13
872a8bd53ffffff,872a8bc51ffffff,9
872a8bd53ffffff,872a8bc52ffffff,2
872a8bd53ffffff,872a8bd53ffffff,1
872a8bd58ffffff,872a8bc2affffff,132
872a8bd58ffffff,872a8bc2effffff,1
872a8bd59ffffff,872a8bc48ffffff,1
872a8bd59ffffff,872a8bc4effffff,3
872a8bd59ffffff,872a8bc50ffffff,1
872a8bd59ffffff,872a8bc51ffffff,1
872a8bd5affffff,872a8bc2effffff,10
872a8bd5affffff,872a8bc4affffff,1
872a8bd5affffff,872a8bc4effffff,5
872a8bd5affffff,872a8bd5affffff,1
872a8bd5bffffff,872a8bc2bffffff,12
872a8bd5bffffff,872a8bc2effffff,6
872a8bd5bffffff,872a8bc4affffff,9
872a8bd5bffffff,872a8bc4effffff,1
872a8bd5bffffff,872a8bd5bffffff,1
872a8bd5cffffff,872a8bc28ffffff,1
872a8bd5cffffff,872a8bc2effffff,3
872a8bd5effffff,872a8bc4affffff,1
872a8bd5effffff,872a8bc4effffff,2
872a8bd63ffffff,872a8bc2affffff,2
872a8bd63ffffff,872a8bc2effffff,1
872a8bd63ffffff,872a8bc4effffff,3
872a8bd6cffffff,872a8bc28ffffff,1
872a8bd6cffffff,872a8bc2affffff,8
872a8bd6cffffff,872a8bc2cffffff,20
872a8bd6cffffff,872a8bc2effffff,1
872a8bd6cffffff,872a8bc40ffffff,1
872a8bd6cffffff,872a8bc4effffff,3
872a8bd6cffffff,872a8bc51ffffff,1
872a8bd6effffff,872a8bc48ffffff,1
872a8bd6effffff,872a8bc4effffff,4
